stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
179,1145,"3RD + ONEAL",,35.046392,-85.287057,,,,,,2
180,1149,"3RD + SCRUGGS",,35.045837,-85.285515,,,,,,2
181,1152,"3RD + WARNER PARK",,35.043972,-85.280540,,,,,,2
182,1133,"3RD + HIGHLAND PARK",,35.043102,-85.278028,,,,,,2
183,1135,"3RD + HOLLY",,35.042617,-85.276788,,,,,,2
184,1129,"3RD + HAWTHORNE",,35.041453,-85.273642,,,,,,2
185,2740,"ORCHARD KNOB + GARFIELD",,35.041462,-85.271638,,,,,,2
188,2298,"OKNOB + CITICO",,35.045728,-85.269413,,,,,,2
189,2308,"OKNOB + ROBBINS",,35.046667,-85.268937,,,,,,2
190,2304,"OKNOB + MILNE",,35.048263,-85.268078,,,,,,2
191,1758,"ROANOKE + COOLEY",,35.050350,-85.265710,,,,,,2
192,1773,"ROANOKE + WILSON",,35.051995,-85.264820,,,,,,2
193,1772,"ROANOKE + WILCOX SE",,35.053620,-85.263930,,,,,,2
194,1756,"ROANOKE + CAMDEN",,35.055337,-85.262992,,,,,,2
195,1763,"ROANOKE + OCOEE",,35.056493,-85.262372,,,,,,2
211,1593,"DODSON + CRUTCHFIELD",,35.064118,-85.254552,,,,,,2
212,1597,"DODSON + DAISY",,35.066073,-85.253455,,,,,,2
213,1587,"DODSON + APPLING",,35.067317,-85.252803,,,,,,2
214,1599,"DODSON + FAIRLEIGH",,35.068410,-85.252183,,,,,,2
215,1589,"DODSON + BACHMAN",,35.069467,-85.251612,,,,,,2
216,1596,"DODSON + CUSHMAN",,35.070577,-85.251007,,,,,,2
217,2412,"STUART + DODSON",,35.071728,-85.250165,,,,,,2
231,2415,"STUART + WHEELER",,35.070830,-85.247542,,,,,,2
232,2413,"STUART + TAYLOR",,35.071335,-85.248845,,,,,,2
233,1595,"DODSON + CUSHMAN",,35.070882,-85.250912,,,,,,2
234,1590,"DODSON + BACHMAN",,35.069802,-85.251532,,,,,,2
235,1600,"DODSON + FAIRLEIGH",,35.068625,-85.252167,,,,,,2
236,1588,"DODSON + APPLING",,35.067568,-85.252723,,,,,,2
237,1598,"DODSON + DAISY",,35.066483,-85.253312,,,,,,2
238,1594,"DODSON + CRUTCHFIELD",,35.064485,-85.254393,,,,,,2
253,1766,"ROANOKE + OLIVE",,35.057940,-85.261608,,,,,,2
